名称,レア度,タイプ,主属性,副属性,攻撃,体力,回復,とっくん,出典,リダ攻倍率,倍率スキル,付与できる状態異常,スキル,リーダースキル,とくもり,きらめきオーラ
P3女性主人公,★6,バランス,赤,青,3120,6100,1120,込み,シート,3.0,,,スタメンのカードが各カードの「こうげき」×スタメンの属性数×4.5の単体属性攻撃,味方全体の攻撃力を3倍、体力を2.5倍にし、さらに一度に消せるぷよ数を1個増やす,,
P4パプリス,★5,バランス,黄,,46,110,30,込み,シート,1.0,,,,,,
P4主人公,★6,こうげき,黄,緑,3300,5900,720,込み,シート,3.0,n属性以上の同時攻撃×3.0,,2ターンの間、3属性以上の同時攻撃で味方全体の攻撃力を3倍にする,味方全体の攻撃力と体力を3倍にする,,
P5パプリス,★5,バランス,赤,,70,110,10,込み,シート,1.0,,,,,,
P5主人公,★6,バランス,赤,紫,3150,6100,1070,込み,シート,3.5,,,1ターンの間、味方全体をどの色の連鎖でも攻撃するようにする（通常攻撃のみ）,味方全体の攻撃力を3.5倍、体力を2.5倍にする,,
[修業後]黒崎一護,★7,たいりょく,紫,赤,4949,12510,1159,込み,シート,5.0,攻撃エンハ(特盛控え含む)×1.3,,控え含む味方全体の状態異常を解除する 3ターンの間、通常攻撃時のみ控え含む味方全体の各色ぷよを消したときに発生する数値を6倍にし、3ターンの間、ネクストぷよをすべて「プラス状態」にする,味方全体の攻撃力を5倍、体力を3.5倍、回復力を2倍にし、通常攻撃時のみむらさきぷよを4個消すごとにスキル発動ぷよ数を3個減らす さらに通常攻撃時のみ同時消し係数を1.2倍にする,①クエスト終了時まで控えを含む味方全体の攻撃力を1.3倍にする ②クエスト出発時1回のみ2ターンの間、味方ターン終了時、ネクストぷよをランダムで2個チャンスぷよに変える,
[虚化]黒崎一護,★6,たいりょく,紫,赤,,,,,シート,4.2,,,控え含む味方全体の状態異常を解除する 2ターンの間、通常攻撃時のみ控え含む味方全体の各色ぷよを消したときに発生する数値を5倍にし、2ターンの間、ネクストぷよをすべて「プラス状態」にする,味方全体の攻撃力を4.2倍、体力を3.2倍、回復力を1.5倍にし、通常攻撃時のみむらさきぷよを4個消すごとにスキル発動ぷよ数を2個減らす さらに通常攻撃時のみ同時消し係数を1.2倍にする,,
ver.パワプロ系,★5,こうげき,,,,,,,シート,2.0,,,フィールド上の色ぷよをすべて 自色ぷよに変える,味方全体の攻撃力を2倍にし、 さらに一度に消せるぷよ数を1個増やす,,
〈いばら姫〉,★7,こうげき,赤,緑,5974,9872,1055,込み,シート,5.2,クリティカル倍率up×1.3,,2ターンの間、ネクストぷよをあかぷよに変え、通常攻撃時のみこのカードのあかぷよ、みどりぷよを消したときに発生する数値を21倍にする さらに2ターンの間、相手全体の攻撃力を90％減少させる,味方全体の攻撃力を5.2倍、体力を3.5倍にし、通常攻撃時のみみどりぷよを4個消すごとに味方全体のスキル発動ぷよ数を3個減らす さらに味方ターン終了時、フィールド上にあかぷよがある場合、ネクストぷよをランダムで3個「プラス状態」にする,①味方全体が体力0になっても、1回のみ「体力1」で踏みとどまる ②味方全体のとくもりクリティカルのダメージアップ倍率をこのカードのとくもりクリティカルLv.×3％アップする(このとくもりスキルは重複可能),
〈黄昏〉,★7,バランス,緑,赤,5172,9980,1915,込み,シート,5.2,,,1ターンの間、なぞり消しの代わりにみどりぷよにぬりかえる「とくべつルール」を発動し、味方全体の連鎖係数を8倍にする このスキル発動後、ターン終了時まで他のスキルは発動できない,味方全体の攻撃力を5.2倍、体力を3.5倍にし、通常攻撃時のみあかぷよを4個消すごとに味方全体のスキル発動ぷよ数を3個減らす さらに味方ターン終了時、フィールド上にみどりぷよがある場合、ネクストぷよをランダムで3個「プラス状態」にする,①味方全体が体力0になっても、1回のみ「体力1」で踏みとどまる ②味方全体のとくもりクリティカルの発動率をこのカードのとくもりクリティカルLv.×5％アップする(このとくもりスキルは重複可能),
あいこリス,★5,バランス,青,,58,74,30,込み,シート,1.0,,,,,,
あおいインキュバス,★6,こうげき,青,,3190,4066,253,なし,シート,3.0,,,ランダム対象に「こうげき」×7の 3連続属性攻撃を行い 与えたダメージに応じて、味方全体を回復,青属性カードの攻撃力と体力を3倍にし、クエスト開始時の1ターン目のみ ネクストぷよをすべてあおぷよにする,,
あおいインキュバス,★7,こうげき,青,,6804,9397,990,込み,シート,4.5,与ダメアップ×4.5,,ランダム対象にこのカードの「こうげき」×40の3連続属性攻撃を与え、ダメージに応じて味方全体を回復する その後2ターンの間、青属性カードの相手に与えるダメージを4.5倍にする,青属性カードの攻撃力を4.5倍、体力を3.5倍にし、クエスト開始時から1ターンの間、ネクストぷよをすべてあおぷよに変える,味方全体の体力を1.5倍にする,
あおいカップリス,★5,こうげき,青,,2038,3552,487,込み,シート,1.3,,,青属性ぷよを1個 プリズムボールに変化させる,味方全体の全能力値が1.3倍になる,,
あおいカバルーン,★5,たいりょく,青,,1620,4706,450,込み,シート,1.0,,,自分の体力を0にして、相手全体に最大体力 ×4の属性攻撃,,,
あおいコビット,★4,かいふく,青,,322,1229,589,込み,シート,1.0,,,フィールド上のあかぷよを 2個ハートBOXに変える,,,
あおいパプリス,★4,こうげき,青,,665,1322,135,込み,シート,1.0,,,相手全体にこのカードの「こうげき」 ×2の属性攻撃,,,
あおぞらのシグ,★6,バランス,青,緑,2274,4200,748,なし,シート,3.4,,,フィールド上の色ぷよとハートBOXを、ハートBOX、黄ぷよ、青ぷよ、赤ぷよ、緑ぷよ、紫ぷよ、プリズムボールに変化させる,スタメンのカードが2色以上から1色増えるごとに味方全体の攻撃力倍率に0.6倍プラス 体力倍率に0.5倍プラス さらに味方全体の初回のスキル発動ぷよ数を3減らす,,
あおぞらのシグ,★7,バランス,青,緑,4998,9700,1690,込み,シート,5.0,プリズム効果アップ×3.6,,このスキル発動中、味方全体の攻撃力と回復力を2.2倍にし、フィールド上の色ぷよとハートBOXをハートBOX、各色ぷよ、プリズムボールに変える,スタメンのカードが2色以上から1色増えるごとに味方全体の攻撃力倍率に1倍プラス（最大5倍） 体力倍率に0.65倍プラス（最大3.6倍）クエスト出発時味方の初回スキル発動ぷよ数を5減らす,プリズムボールを消した時の効果を3.6倍する,
あおラミット,★5,こうげき,青,,2042,3754,486,込み,シート,1.8,,,3ターンの間、緑属性カードの攻撃力を60%減少させる,味方全体の青属性の攻撃力が1.8倍になる,,
あかいアミティ,★6,こうげき,赤,黄,2422,4212,254,なし,シート,3.0,攻撃エンハ×3.5,,1ターンの間、スタメンの属性数×0.5倍で 全カードの攻撃力をアップさせる(最大3.5倍),スタメンのカードが2色以上から1色増えるごとに 全属性の体力と攻撃力の倍率に0.5倍プラス,,
あかいアミティ,★7,こうげき,赤,黄,5727,9613,999,込み,シート,5.0,攻撃エンハ×5.0; 攻撃エンハ(特盛無条件)×1.5,,2ターンの間、スタメンの属性数×0.8倍で味方全体の攻撃力をアップさせる(最大5倍),スタメンのカードが2色以上から1色増えるごとに 方全体の攻撃力倍率に1倍プラス(最大5倍) 体力倍率に0.75倍プラス(最大4倍),味方全体の攻撃力を1.5倍にする,
あかいカップリス,★5,こうげき,赤,,2044,3570,477,込み,シート,1.3,,,赤属性ぷよを1個 プリズムボールに変化させる,味方全体の全能力値が1.3倍になる,,
あかいカバルーン,★5,たいりょく,赤,,1625,4721,442,込み,シート,1.0,,,自分の体力を0にして、相手全体に最大体力 ×4の属性攻撃,,,
あかいコビット,★4,かいふく,赤,,333,1247,575,込み,シート,1.0,,,フィールド上のみどりぷよを 2個ハートBOXに変える,,,
あかいパプリカマルス,★6,こうげき,赤,緑,,,,,シート,2.5,,,2ターンの間、このカードの通常攻撃を「こうげき」×8の全体攻撃にする,赤属性カードと緑属性カードの攻撃力と体力を2.5倍にする,,
あかいパプリス,★4,こうげき,赤,,675,1353,125,込み,シート,1.0,,,相手全体にこのカードの「こうげき」 ×2の属性攻撃,,,
あかきウィッチ,★6,こうげき,赤,黄,2551,4218,300,なし,シート,4.2,n属性以上の同時攻撃×1.4(LS時のみ),,フィールド上の色ぷよ、ハートBOX、おじゃまぷよ、かたぷよをランダムで10個プリズムボールに変え、すべての色ぷよをあかぷよに変える,味方全体の攻撃力3倍、体力3.2倍にし、3属性以上の同時攻撃で味方全体の攻撃力をさらに1.4倍する,,
あかきウィッチ,★7,こうげき,赤,黄,5781,9622,1048,込み,シート,5.25,n属性以上の同時攻撃×1.5(LS時のみ),,このスキル発動中、味方全体の攻撃力を1.2倍、全消しをした場合さらに1.2倍にする フィールド上の色ぷよ、ハートBOX、おじゃまぷよ、かたぷよをランダムで11個プリズムボールに変え、色ぷよをすべてあかぷよに変える,味方全体の攻撃力と体力を3.5倍にし、3属性以上の同時攻撃で味方全体の攻撃力をさらに1.5倍にする,,
あかつきのドラウド3世,★6,バランス,赤,紫,2260,4200,700,なし,シート,4.16,,,フィールド上の色ぷよとハートBOXを、あかぷよ、きいろぷよ、みどりぷよ、あおぷよ、むらさきぷよ、プリズムボールに変える,赤属性カードの攻撃力を3.2倍、体力を3倍にし、紫属性カードの攻撃力をさらに1.3倍にする  全消しをした場合、フィールド上の色ぷよをランダムで1個プリズムボールに変える,,
あかつきのドラウド3世,★7,バランス,赤,紫,4977,9701,1626,込み,シート,5.2,,,このスキル発動中、味方全体の攻撃力を1.5倍にし、フィールド上の色ぷよとハートBOXをあかぷよ、きいろぷよ、みどりぷよ、あおぷよ、むらさきぷよ、プリズムボールに変える,赤属性カードの攻撃力を4倍、体力を3.2倍にし、紫属性カードの攻撃力をさらに1.3倍にする  全消しをした場合、フィールド上の色ぷよをランダムで2個プリズムボールに変える,,
あかラミット,★5,こうげき,赤,,2047,3769,478,込み,シート,1.8,,,3ターンの間、青属性カードの攻撃力を60%減少させる,味方全体の赤属性の攻撃力が1.8倍になる,,
あくま,★6,たいりょく,紫,,1448,4999,154,なし,シート,1.0,,,ターン経過せずに、なぞったぷよを 最大8個までむらさきぷよに変える,体力MAXの紫属性カードが受けるダメージを半減させる,,
あくま,★7,たいりょく,紫,,3155,11298,688,込み,シート,3.5,与ダメアップ×3.5,,2ターンの間、紫属性カードの相手に与えるダメージを3.5倍にし、フィールド上の好きな場所の色ぷよ、ハートBOX、おじゃまぷよ、かたぷよを12個までむらさきぷよにぬりかえる,紫属性カードの攻撃力を3.5倍、体力を2倍にし、紫属性カード1体以上の体力がMAXの場合、受けるダメージを70%軽減する,味方全体のとくもりクリティカルの発動率をこのカードのとくもりクリティカルLv.×5％アップする (このとくもりスキルは重複可能),
あさごはんハンターメル,★6,かいふく,緑,紫,1240,3890,1500,なし,シート,3.0,与ダメアップ×3.0,,緑属性カードとかいふくタイプの状態異常を解除する さらに2ターンの間、緑属性カードとかいふくタイプの相手に与えるダメージを3倍にする,緑属性カードとかいふくタイプの攻撃力を3倍、体力を2.5倍にし、通常攻撃時のみみどりぷよを消した場合、緑属性カードとかいふくタイプのスキル発動ぷよ数を2個減らす,,
あさごはんハンターメル,★7,かいふく,緑,紫,2936,8624,2960,込み,シート,3.5,与ダメアップ×3.5,,緑属性カードとかいふくタイプの状態異常を解除する さらに2ターンの間、緑属性カードとかいふくタイプの相手に与えるダメージを3.5倍にする,緑属性カードとかいふくタイプの攻撃力を3.5倍、体力を3倍にし、通常攻撃時のみみどりぷよを消した場合、緑属性カードとかいふくタイプのスキル発動ぷよ数を3個減らす,,
あしか,★6,バランス,青,,1369,2816,742,なし,シート,2.5,,,フィールド上のあおぷよを消す このスキルによって消えた色ぷよはこのカード以外のスキル発動ぷよ数にカウントされる,バランスタイプの攻撃力と体力を2.5倍にする,,
あしか,★7,バランス,青,,3585,7424,1642,込み,シート,3.0,攻撃エンハ×4.8,,1ターンの間、バランスタイプの攻撃力をフィールド上のあおぷよの数×0.1倍にし(最大4.8倍)、あおぷよを消す このスキルによって消えた色ぷよはこのカード以外のスキル発動ぷよ数にカウントされる,バランスタイプの攻撃力と体力を3倍にする,,
あたり,★6,たいりょく,黄,,2000,5090,240,なし,シート,3.0,,,相手単体に味方全体がフィールド上の色ぷよの数×「こうげき」×0.7の属性攻撃を与え、フィールドをリセットする,味方全体の攻撃力と体力を3倍にし、さらになぞり消し数を2個増やす,,
あたり,★7,たいりょく,黄,,3900,11553,804,込み,シート,3.5,,,このカードの状態異常、攻撃力減少、回復力減少を全て解除し、相手単体に味方全体がフィールド上の色ぷよの数×「こうげき」×1の属性攻撃を与え、フィールドをリセットする,味方全体の攻撃力と体力を3.5倍にし、さらになぞり消し数を3個増やす,クエスト出発時1回のみフィールド上の色ぷよをランダムで3個「プラス状態」に変える,
あたり ver.めぐみん,★6,こうげき,赤,,2240,3770,250,なし,シート,3.5,,,味方全体の状態異常を解除する さらに2ターンの間、味方全体の通常攻撃をどの色の連鎖でも攻撃するようにし、色ぷよを消したときに発生する数値を1.5倍にする,味方全体の攻撃力を3.5倍、体力を2倍にし、体力が0になっても1回のみ「体力1」で踏みとどまる さらにクエスト出発時味方全体の初回スキル発動ぷよ数を2減らす,,
あたり ver.めぐみん,★7,こうげき,赤,,5034,8461,886,込み,シート,4.0,,,味方全体の状態異常を解除する さらに2ターンの間、味方全体の通常攻撃をどの色の連鎖でも攻撃するようにし、色ぷよを消したときに発生する数値を2倍にする,味方全体の攻撃力を4倍、体力を2.5倍にし、体力が0になっても1回のみ「体力1」で踏みとどまる さらにクエスト出発時味方全体の初回スキル発動ぷよ数を3減らす,,
あたり ver.キュアブラック,★6,こうげき,紫,,3300,4220,270,なし,シート,3.5,与ダメアップ×4.0,,フィールド上の色ぷよをランダムで2個チャンスぷよに変え、2ターンの間、紫属性カードの相手に与えるダメージを4倍にする,紫属性カードの攻撃力を3.5倍、体力を3倍、回復力を1.5倍にし、通常攻撃時のみハートBOXを消した場合、紫属性カードのスキル発動ぷよ数を4個減らす,,
あたり ver.キュアブラック,★7,こうげき,紫,,6980,9625,1011,込み,シート,4.5,与ダメアップ×4.5,,フィールド上の色ぷよをランダムで3個チャンスぷよに変え、2ターンの間、紫属性カードの相手に与えるダメージを4.5倍にする,紫属性カードの攻撃力を4.5倍、体力を3.5倍、回復力を1.5倍にし、通常攻撃時のみハートBOXを消した場合、紫属性カードのスキル発動ぷよ数を5個減らす,,
あたり ver.ソニック,★6,バランス,黄,青,2320,4360,890,なし,シート,4.2,被ダメアップ×4.2,,味方全体の状態異常を解除する さらに相手全体を3ターンの間、「封印」状態にし、2ターンの間、相手全体が受けるダメージを4.2倍にする,味方全体の攻撃力を4.2倍、体力を3.2倍にし、受けるダメージを20％軽減する さらに通常攻撃時のみあおぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす,,
あたり ver.ソニック,★7,バランス,黄,青,5114,10040,1902,込み,シート,5.2,被ダメアップ×5.2,,味方全体の状態異常を解除する さらに相手全体を4ターンの間、「封印」状態にし、2ターンの間、相手全体が受けるダメージを5.2倍にする,味方全体の攻撃力を5.2倍、体力を3.5倍にし、受けるダメージを20％軽減する さらに通常攻撃時のみあおぷよを消した場合、味方全体のスキル発動ぷよ数を5個減らす,味方全体が体力0になっても、1回のみ「体力1」で踏みとどまる,
あたり＆プーボ,★7,かいふく,黄,青,4858,10412,3900,込み,シート,5.5,,,1ターンの間、なぞり消しの代わりにきいろぷよにぬりかえる「とくべつルール」を発動し、味方全体の連鎖係数を8倍にする このスキル発動後、ターン終了時まで他のスキルは発動できない,味方全体の攻撃力を5.5倍、体力を3.5倍、回復力を2.5倍にし、通常攻撃時のみあおぷよを4個消すごとにスキル発動ぷよ数を3個減らす さらにクエスト出発時から3ターンの間、味方のターン終了時に味方全体の状態異常を解除し、最大体力の15％を回復する,なぞり消し数を2個増やす,
あつあつキッチンのヘド,★6,たいりょく,緑,赤,2300,5380,350,なし,シート,4.2,与ダメアップ×4.8,,2ターンの間、味方全体の相手に与えるダメージを3.2倍にする フィールド上のみどりぷよの個数×5％倍率をアップし(最大50％)、1ターンの間、味方ターン終了時にこのカード以外のスキル発動ぷよ数を同じ個数分減らす(最大10個) さらにフィールド上のみどりぷよをすべて消す,味方全体の攻撃力を4.2倍、体力を3.2倍にし、通常攻撃時のみみどりぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす さらに毎ターン、フィールド上の色ぷよをランダムで1個チャンスぷよに変える,,
あつあつキッチンのヘド,★7,たいりょく,緑,赤,4855,12646,1172,込み,シート,5.2,与ダメアップ×6.0; 攻撃エンハ(特盛無条件)×1.3,,2ターンの間、味方全体の相手に与えるダメージを4倍にする フィールド上のみどりぷよの個数×5％倍率をアップし(最大50％)、1ターンの間、味方ターン終了時にこのカード以外のスキル発動ぷよ数を同じ個数分減らす(最大10個) さらにフィールド上のみどりぷよをすべて消す,味方全体の攻撃力を5.2倍、体力を3.5倍にし、通常攻撃時のみみどりぷよを消した場合、味方全体のスキル発動ぷよ数を5個減らす さらに毎ターン、フィールド上の色ぷよをランダムで2個チャンスぷよに変える,①味方全体の攻撃力を1.3倍にする ②クエスト出発時とステージ移動時フィールド上の色ぷよをランダムで5個「プラス状態」に変える,
あつきヘド,★6,バランス,赤,,3057,4128,494,なし,シート,4.05,n連鎖以上×1.35(LS時のみ),,あかぷよを2個チャンスぷよに変換し、3ターンの間、ネクストぷよをすべて あかぷよに変える,スタメンのカードが副属性を含めた5色から 1色減るごとに、赤属性の攻撃力倍率に0.5倍プラス 体力倍率に0.4倍プラス さらに2連鎖以上で赤属性の攻撃力が1.35倍になる,,
あつきヘド,★7,バランス,赤,,6133,9592,1347,込み,シート,5.6,自属性のみで攻撃×1.6(LS時のみ),,3ターンの間、フィールド上のあかぷよを2個チャンスぷよに、ネクストぷよをすべてあかぷよに変える さらに3ターンの間、赤属性カードの通常攻撃を4連続攻撃にする,赤属性カードの攻撃力と体力を3.5倍にし、赤属性のみの攻撃で与えるダメージを1.6倍にするクエスト出発時赤属性カードの初回スキル発動ぷよ数を5減らす,①味方全体が体力0になっても、1回のみ「体力1」で踏みとどまる ②味方全体のとくもりクリティカルの発動率をこのカードのとくもりクリティカルLv.×5％アップする(このとくもりスキルは重複可能),
あつきヘドSP,★6,バランス,赤,,,,,,シート,4.2,自属性のみで攻撃×1.4(LS時のみ),,あかぷよを2個チャンスぷよに変換し、3ターンの間、ネクストぷよをすべて あかぷよに変える,赤属性カードの攻撃力と体力を3倍にし、赤属性のみ で攻撃を行なった場合、与えるダメージを1.4倍にする　さらに赤属性カードの初回のスキル発動ぷよ数を4減らす,,
あつめるアニマルズ,★6,たいりょく,,,,,,,シート,2.0,,,自色ぷよを3個プリズムボールに変化させる,自属性カードの攻撃力を2倍に、体力を2.5倍にする,,
あまあまのレムレス,★6,たいりょく,緑,黄,2280,5330,300,なし,シート,3.8,被ダメアップ×5.92,,2ターンの間、相手全体が受けるダメージを4倍にする さらに倍率をネクストぷよのみどりぷよの数×3％アップする(最大48％まで),緑属性カードの攻撃力を3.8倍、体力を3倍にし、8個以上の同時消しでネクストぷよをランダムで2個みどりぷよに変え、みどりぷよを2個「プラス状態」にする さらに毎ターン、緑属性カードに最大体力の5％の回復,,
あまあまのレムレス,★7,たいりょく,緑,黄,4828,12561,1105,込み,シート,4.8,被ダメアップ×7.4,,2ターンの間、相手全体が受けるダメージを5倍にする さらに倍率をネクストぷよのみどりぷよの数×3％アップする(最大48％まで),緑属性カードの攻撃力を4.8倍、体力を3.5倍にし、8個以上の同時消しでネクストぷよをランダムで3個みどりぷよに変え、みどりぷよを3個「プラス状態」にする さらに毎ターン、緑属性カードに最大体力の5％の回復,,
あまガエルのテン,★6,かいふく,青,緑,3250,6830,2480,込み,Wiki,4.0,,,2ターンの間、フィールド効果を「雨」にする さらに2ターンの間、なぞり消し数を5個増やし、同時消し係数を4倍にする,青属性カードとかいふくタイプの攻撃力を4倍、体力を3倍にし、さらに味方ターン終了時、フィールド上にあおぷよが合計10個以上存在する場合、ネクストぷよをすべて「プラス状態」にする,,
あまガエルのテン,★7,かいふく,青,緑,4430,10168,3816,込み,Wiki,4.5,,,3ターンの間、フィールド効果を「雨」にする さらに3ターンの間、なぞり消し数を5個増やし、同時消し係数を5倍にする,青属性カードとかいふくタイプの攻撃力を4.5倍、体力を3.5倍にし、さらに味方ターン終了時、フィールド上にあおぷよが合計10個以上存在する場合、ネクストぷよをすべて「プラス状態」にする,,
あみものフラウ・S,★6,こうげき,赤,紫,2800,4617,667,込み,シート,1.8,,,スタメンのカードが各カードの「こうげき」 ×スタメンの属性数×0.5の単体属性攻撃,味方全体の攻撃タイプの 攻撃力と回復力が1.8倍になる,,
あやしいクルーク,★6,バランス,赤,,1772,3665,727,なし,シート,3.0,,,ランダム対象にこのカードの「こうげき」×3の 6連続属性攻撃,赤属性カードの攻撃力を体力がMAXの場合3倍にする,,
あやしいクルーク,★7,バランス,赤,,4270,8898,1662,込み,シート,5.1,,,ランダム対象にこのカードの「こうげき」×45の6連続属性攻撃,赤属性カードの攻撃力と体力を3倍にし、体力がMAXの場合、攻撃力をさらに1.7倍にする,クエスト出発時1回のみリーダーとサポーターの初回スキル発動ぷよ数を5減らす,
あやしいクルーク ver.イーデン校,★6,たいりょく,紫,,1820,4840,220,なし,シート,3.0,盾破壊×3.0,,1ターンの間、全属性盾のダメージカット後のダメージを3倍にする(ただしダメージカット前のダメージを上限とする),紫属性カードとたいりょくタイプの攻撃力を3倍、体力を2.5倍にし、通常攻撃時のみむらさきぷよを消した場合、紫属性カードとたいりょくタイプのスキル発動ぷよ数を2個減らす,,
あやしいクルーク ver.イーデン校,★7,たいりょく,紫,,3657,11028,777,込み,シート,3.5,盾破壊×3.5,,2ターンの間、全属性盾のダメージカット後のダメージを3.5倍にする(ただしダメージカット前のダメージを上限とする),紫属性カードとたいりょくタイプの攻撃力を3.5倍、体力を3倍にし、通常攻撃時のみむらさきぷよを消した場合、紫属性カードとたいりょくタイプのスキル発動ぷよ数を3個減らす,,
あやしいクルーク ver.ウォズ,★6,こうげき,紫,,2120,3580,250,なし,シート,3.0,,,2ターンの間、こうげきタイプが相手の属性攻撃を10倍にしてはねかえす,こうげきタイプの攻撃力と体力を3倍にする,,
あやしいクルーク ver.ウォズ,★7,こうげき,紫,,4842,8181,886,込み,シート,3.5,,,3ターンの間、こうげきタイプが相手の属性攻撃を15倍にしてはねかえす,こうげきタイプの攻撃力と体力を3.5倍にする,,
あやしいクル松,★6,バランス,緑,,2954,5618,1073,込み,シート,1.0,,,相手単体に「400000」の 無属性ダメージを与える,味方全体のバランスタイプの 体力が0になっても1回のみ「体力１」で踏みとどまる,,
あらうみのキキーモラ,★6,たいりょく,青,赤,3590,7920,840,込み,Wiki,3.8,攻撃エンハ(隣接)×8.0,,フィールド上の色ぷよをランダムで4個チャンスぷよに変え、2ターンの間、このカードとこのカードに隣接するカードの攻撃力を8倍にする,味方全体の攻撃力を3.8倍、体力を3倍、回復力を1.5倍にし、通常攻撃時のみあおぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす クエスト中の累計ぷよ消し数が120個以上の場合、味方全体の受けるダメージを30％軽減する,,
あらうみのキキーモラ,★7,たいりょく,青,赤,4841,12544,1132,込み,Wiki,4.8,攻撃エンハ(隣接)×9.5,,フィールド上の色ぷよをランダムで6個チャンスぷよに変え、2ターンの間、このカードとこのカードに隣接するカードの攻撃力を9.5倍にする,味方全体の攻撃力を4.8倍、体力を3.5倍、回復力を2倍にし、通常攻撃時のみあおぷよを消した場合、味方全体のスキル発動ぷよ数を5個減らす クエスト中の累計ぷよ消し数が120個以上の場合、味方全体の受けるダメージを30％軽減する,,
あらたまのコドモドラゴン,★6,バランス,赤,青,1890,3680,710,なし,シート,3.0,攻撃エンハ×4.44,,2ターンの間、赤属性カードとバランスタイプの攻撃力と回復力を3倍にする さらに倍率をネクストぷよのあかぷよの数×3％アップする(最大48％まで),赤属性カードとバランスタイプの攻撃力を3倍、体力を2.5倍にし、通常攻撃時のみあかぷよを消した場合、赤属性カードとバランスタイプのスキル発動ぷよ数を2個減らす,,
あらたまのコドモドラゴン,★7,バランス,赤,青,4441,8920,1639,込み,シート,3.5,攻撃エンハ×5.18,,2ターンの間、赤属性カードとバランスタイプの攻撃力と回復力を3.5倍にする さらに倍率をネクストぷよのあかぷよの数×3％アップする(最大48％まで),赤属性カードとバランスタイプの攻撃力を3.5倍、体力を3倍にし、通常攻撃時のみあかぷよを消した場合、赤属性カードとバランスタイプのスキル発動ぷよ数を3個減らす,,
あわあわサンタのセリリ,★6,たいりょく,青,赤,2280,5380,360,なし,シート,4.0,,,味方全体の攻撃力減少、回復力減少を解除する さらに2ターンの間、このカードの通常攻撃をどの色の連鎖でも攻撃するようにし、色ぷよを消したときに発生する数値を8倍にする,味方全体の攻撃力を4倍、体力を3倍、回復力を1.5倍にし、なぞり消し数を2個増やす さらに通常攻撃時のみ連鎖係数を1.2倍にし、相手ターン終了時にフィールド上の色ぷよをランダムで5個「プラス状態」にする,,
